/home/lucas_rayder7/autoresearch/TestCLI/train.py:251: UserWarning: Argument(s) 'var_limit' are not valid for transform GaussNoise
  A.GaussNoise(var_limit=(5.0, 15.0), p=0.3),
Data: xView2 directory already exists at content/data/xview2_jpeg
Metadata: Normalization statistics already cached at content/data/dataset_stats.json
Engine starting on: cuda. Configuration: {'in_channels': 6, 'f1': 32, 'f2': 64, 'f3': 128, 'f4': 256, 'f5': 512}

Step 00063 (5.3%) | Smooth Loss: 2.89586 | Img/sec: 20 | Elapsed: 48s
Step 00064 (5.4%) | Smooth Loss: 2.99985 | Img/sec: 20 | Elapsed: 49s
Step 00065 (5.5%) | Smooth Loss: 3.03868 | Img/sec: 20 | Elapsed: 50s
Step 00066 (5.6%) | Smooth Loss: 2.93576 | Img/sec: 20 | Elapsed: 50s
Step 00067 (5.7%) | Smooth Loss: 2.90806 | Img/sec: 20 | Elapsed: 51s
Step 00068 (5.8%) | Smooth Loss: 2.84419 | Img/sec: 20 | Elapsed: 52s
Step 00069 (5.8%) | Smooth Loss: 2.86781 | Img/sec: 20 | Elapsed: 53s
Step 00070 (5.9%) | Smooth Loss: 2.80206 | Img/sec: 20 | Elapsed: 53s
Step 00071 (6.0%) | Smooth Loss: 2.75110 | Img/sec: 20 | Elapsed: 54s
Step 00072 (6.1%) | Smooth Loss: 2.80070 | Img/sec: 20 | Elapsed: 55s
Step 00073 (6.2%) | Smooth Loss: 2.85103 | Img/sec: 20 | Elapsed: 56s
Step 00074 (6.3%) | Smooth Loss: 2.89801 | Img/sec: 20 | Elapsed: 57s
Step 00075 (6.4%) | Smooth Loss: 2.91855 | Img/sec: 20 | Elapsed: 57s
Step 00076 (6.5%) | Smooth Loss: 2.91004 | Img/sec: 20 | Elapsed: 58s
Step 00077 (6.5%) | Smooth Loss: 2.87427 | Img/sec: 20 | Elapsed: 59s
Step 00078 (6.6%) | Smooth Loss: 2.78942 | Img/sec: 20 | Elapsed: 60s
Step 00079 (6.7%) | Smooth Loss: 2.86021 | Img/sec: 20 | Elapsed: 60s
Step 00080 (6.8%) | Smooth Loss: 2.81392 | Img/sec: 20 | Elapsed: 61s
Step 00081 (6.9%) | Smooth Loss: 2.83791 | Img/sec: 20 | Elapsed: 62s
